,text,re,fav
187,"['that', 'mvp', 'smil', 'httpstcorbkhrcfwxw']",465,2268
188,"['hug', 'astro', 'fan', 'yo', 'going', 'worldsery', 'httpstconomtkzdy']",811,2582
189,"['bye', 'bal', 'bye', 'bat', 'alc', 'httpstcoddkqnydvy']",436,1378
190,"['gam', 'httpstconllttax']",357,1181
191,"['domin', 'postseason', 'httpstcodcmcpumn']",398,1260
192,"['dodg', 'ultim', 'fridayfeel', 'today', 'httpstcozhtlakld']",79,270
193,"['on', 'friend', 'goe', 'way', 'hard', 'high', 'fiv', 'httpstcocggvprwoc']",123,562
194,"['puig', 'dot', 'gif', 'httpstcobrmqqkue']",336,859
195,"['postseason', 'puig', 'continu', 'httpstcoyjdyoxy']",368,1327
196,"['kersh', 'ready', 'worldsery', 'httpstcoldtsatm']",718,2282
197,"['clinch', 'styl', 'httpstconvubmbhmj']",111,391
198,"['puigyourfriend', 'httpstcogdzogiz']",85,330
199,"['new', 'good', 'luck', 'charm', 'nlcs', 'httpstcoalcoyhap']",220,907
200,"['keep', 'loop', 'forev', 'nlcs', 'httpstcoqrrmfoeca']",441,1586
201,"['on', 'win', 'away', 'alc', 'httpstcoxrigdueh']",575,1660
202,"['rememb', 'exam', 'morn', 'httpstcojrxnjitz']",155,521
203,"['comeback', 'complet', 'httpstcouelkxkejhf', 'httpstconbvcngyg']",31,241
204,"['doubl', 'spiderm', 'mem', 'gif', 'form', 'httpstcotzuranfmq']",317,1180
205,"['bring', 'us', 'yasielpuig', 'cam', 'httpstcohdlqvzxqx']",486,1746
206,"['tru', 'dont', 'nee', 'bat', 'httpstcoppyamtlml']",138,479
207,"['yank', 'got', 'stad', 'going', 'lik', 'httpstcogdyrvun']",327,1178
208,"['josealtuv', 'enjoy', 'postseason', 'rol', 'coast', 'alc', 'httpstcoehiizuy']",130,580
209,"['alo', 'blacc', 'man', 'play', 'background', 'httpstcoxpngrycc']",72,344
210,"['good', 'thejudg', 'ask', 'jeev', 'alc', 'httpstcoucabrpltpk']",142,713
211,"['may', 'birthday', 'perfect', 'hair', 'flipshappy', 'th', 'bharp', 'httpstcongxfvjwh']",362,1385
212,"['jt', 'cant', 'stop', 'feel', 'httpstcoasauophk', 'httpstcovhxauhmvy']",145,707
213,"['party', 'hom', 'plat', 'walkoff', 'httpstcoznaeubxtq']",170,614
214,"['hello', 'nlcs', 'gam', 'gre', 'see', 'httpstcohzfbcwi']",164,990
215,"['nev', 'chang', 'yasielpuig', 'httpstcopttnzqmdg']",268,980
216,"['rememb', 'ther', 'postseason', 'basebal', 'tonight', 'httpstcozbmnwzcj']",66,337
217,"['alc', 'lead', 'httpstcoahahipnogq']",292,1103
218,"['jhard', 'amp', 'cp', 'hous', 'alc', 'httpstcobyduwrpjq']",143,724
219,"['flashback', 'playground', 'httpstcoeftvsvzs']",236,903
220,"['gam', 'day', 'birthday', 'httpstcockszoieha']",82,641
221,"['on', 'step', 'clos', 'alc', 'httpstconmnoahks']",190,1100
222,"['good', 'luck', 'everyon', 'fridaythe', 'httpstconbhgaif']",245,791
223,"['going', 'going', 'back', 'back', 'cal', 'cal', 'clinch', 'httpstcogkyceqvhw']",297,1385
224,"['flythew', 'celebr', 'clinch', 'httpstcokghogqri']",1540,5204
225,"['feelin', 'arizzo', 'clinch', 'httpstconlkdnx']",241,1139
226,"['clinch', 'fil', 'httpstcolvwuforx']",204,627
227,"['anyon', 'understand', 'murph', 'cod', 'httpstcocrrwmaqni']",119,611
228,"['ev', 'murph', 'impress', 'postseason', 'murph', 'nlds', 'httpstcofmpjtntuh']",84,548
229,"['idcallyoubut', 'httpstcourxavssni']",402,1277
230,"['ah', 'explain', 'itjo', 'prom', 'didig', 'hug', 'hom', 'httpstcofkttexpwt']",94,466
231,"['adrenalin', 'quit', 'thing', 'httpstcobimuuhqp', 'httpstcorpgkqeud']",452,1489
232,"['yank', 'fan', 'right', 'lik', 'httpstcojdkqfcc']",1432,3434
233,"['hand', 'httpstcoxjnkhfnmgv']",322,1415
234,"['happy', 'birthday', 'thecutch', 'httpstcocmkckblvm']",319,1884
235,"['togeth', 'clinch', 'httpstcocdwmkblw']",151,453
236,"['claytonkersh', 'lov', 'sweep', 'much', 'clinch', 'httpstcohjirescwjr']",342,1306
237,"['round', 'kenley', 'top', 'goldy', 'httpstcoggqiakqesf']",114,394
238,"['mood', 'bronx', 'httpstcooeozxllh']",459,1291
239,"['arizzo', 'got', 'httpstcoafxlmngb']",1289,4852
240,"['postseason', 'pump', 'httpstcowqhgqxt']",185,764
241,"['bil', 'murray', 'say', 'get', 'run', 'cub', 'get', 'run', 'httpstcohknyfipqiv']",1300,7169
242,"['hug', 'broth', 'httpstcoispezieow']",139,477
243,"['tfw', 'earnh', 'httpstcovsvbtwwez']",52,252
244,"['cant', 'rain', 'celebr', 'httpstcovsvmdjbo']",246,918
245,"['astro', 'fan', 'everywh', 'ald', 'httpstcoohlgpjyfil']",745,1746
246,"['ther', 'on', 'monst', 'fenway', 'ald', 'httpstcoxajwczxhyv']",727,1980
247,"['dont', 'nee', 'anym', 'bennybatflip', 'httpstcotkklglgbx']",98,510
248,"['hear', 'four', 'gam', 'tomorrow', 'gamemonday', 'httpstcomlmzkyec']",323,1393
249,"['top', 'step', 'httpstcoubpnejnmde']",102,466
250,"['postseason', 'vib', 'httpstcootfobrrnw']",234,1017
251,"['hanleyramirez', 'play', 'fruit', 'ninj', 'expert', 'httpstcofwqfsncu']",28,167
252,"['teamcjcorre', 'feel', 'postseason', 'vib', 'httpstcocjbxxqvrt']",37,128
253,"['hanley', 'isnt', 'ready', 'go', 'hom', 'ald', 'httpstcovrgpyaofa']",60,275
254,"['badwaystostartaconvers', 'httpstcopkijiamztt']",12,161
255,"['typ', 'amaz', 'yasielpuig', 'gif', 'httpstcoszteoofkb']",327,1150
256,"['batflip', 'hair', 'flip', 'bharp', 'httpstcoohuuvesf']",58,214
257,"['batflip', 'anoth', 'level', 'httpstcodojiudbprn']",858,2351
258,"['bharp', 'hyp', 'nlds', 'httpstcoadgvpai']",382,1405
259,"['noth', 'lik', 'good', 'javyfac', 'httpstcoukclo']",146,668
260,"['saturday', 'plan', 'postseason', 'basebal', 'httpstcokqxgrtmvw']",213,755
261,"['birthday', 'dant', 'happy', 'th', 'mookiebet', 'httpstconxnwbxq']",158,723
262,"['puig', 'dot', 'gif', 'httpstcoiqtwavyh']",1057,3178
263,"['fan', 'who', 'earn', 'nic', 'night', 'ballpark', 'httpstcomrfcugafu']",265,1564
264,"['polit', 'ye', 'grandm', 'meatloaf', 'deliciousr', 'httpstcoimogfkzxq']",72,328
265,"['jaybruc', 'boss', 'httpstcoxgtqojrahk', 'httpstcogpaavwtg']",63,345
266,"['land', 'walkoff', 'httpstconhlqjf']",356,1254
267,"['champ', 'aint', 'scar', 'httpstcolskrmbaxa']",105,430
268,"['bharp', 'send', 'lov', 'las', 'vega', 'httpstcomwqomsdq']",193,1170
269,"['got', 'lindorbc', 'httpstcouqwwglbv']",182,813
270,"['happy', 'worldsmileday', 'httpstcoxzypjetvbi']",183,773
271,"['thejkkid', 'play', 'centerthejkkid', 'httpstcopmjkfn']",89,561
272,"['ent', 'josealtuv', 'httpstcoobrnopjf']",247,935
273,"['that', 'start', 'gam', 'ald', 'httpstcoiecaxgaon']",30,172
274,"['sur', 'dont', 'want', 'start', 'gam', 'httpstcoxbvqjb']",283,1649
275,"['rid', 'nlds', 'httpstcolwarwlsb']",26,154
276,"['goin', 'straight', 'wild', 'wild', 'west', 'httpstcocucidsqwfg', 'wildcard', 'httpstcobzpbwq']",77,456
277,"['look', 'lik', 'snak', 'nee', 'get', 'plan', 'httpstcoovnprnijh']",310,1455
278,"['us', 'lik', 'every', 'fiv', 'second', 'wildcard', 'gam', 'httpstcothudphugpv']",230,1009
279,"['someon', 'guil', 'enjoy', 'postseason', 'httpstcoosodmgomw']",60,318
280,"['buzz', 'tow', 'hit', 'tow', 'driv', 'httpstcosrwnrryx', 'wildcard', 'httpstcojrzymyvuv']",92,367
281,"['mov', 'postseason', 'httpstcoiqcacqlts']",380,1278
282,"['run', 'hom', 'work', 'lik', 'wildcard', 'httpstcovdqasxlhj']",180,619
283,"['mood', 'wildcard', 'httpstcosnypcvavwh']",471,1557
284,"['tweet', 'get', 'lik', 'httpstcolvhfmfhl']",34,265
285,"['theyr', 'joey', 'votto', 'fan', 'lif', 'httpstcoujmpgnzc']",171,1066
286,"['puig', 'dant', 'httpstcoihtoodtpv']",130,631
287,"['bring', 'real', 'thing', 'httpstcopuihwfm']",409,1957
288,"['get', 'popcorn', 'ready', 'httpstcoebyryssbx']",56,453
289,"['certain', 'play', 'postseason', 'httpstcosiflsbfpa']",32,190
290,"['fac', 'httpstcorsbesqmwl']",445,1373
291,"['mstrooo', 'pumpfak', 'httpstcotussnmicn']",419,1425
292,"['dad', 'im', 'going', 'tonightdad', 'fin', 'homeworkm', 'httpstcoagjbazgp', 'httpstcogxmgrvl']",607,1959
293,"['think', 'want', 'birthday', 'lik', 'happy', 'th', 'kenleyjans', 'httpstcoyfbdgxsj']",124,721
294,"['slid', 'left', 'slid', 'right', 'on', 'hop', 'tim', 'httpstcoqpfvawogp']",41,270
295,"['toenight', 'show', 'thrives', 'worldclass', 'equip', 'httpstcoknjyubfc']",167,620
296,"['wor', 'wait', 'twin', 'clinch', 'httpstcovqtffwt']",191,951
297,"['rajaidav', 'look', 'lik', 'kyrieirv', 'httpstcocszjtpcd']",923,2556
298,"['flythew', 'httpstcouerchbaiv']",399,1311
299,"['watch', 'first', 'tim', 'httpstcobdpmmnccrr']",155,732
300,"['mlb', 'street', 'vol', 'httpstcoznyzcyp']",346,1348
301,"['noth', 'bet', 'walkoff', 'feel', 'httpstcoauvlzur', 'httpstcotgdhqppcg']",27,98
302,"['cutch', 'cannon', 'httpstcohcrceqvrmu']",68,258
303,"['mythirdgeniew', 'cotton', 'candy', 'httpstcomryygxmq']",135,625
304,"['might', 'tarpiest', 'doubl', 'play', 'youl', 'ev', 'see', 'httpstcozelsvvml', 'httpstcopmhagjtnp']",57,228
305,"['fool', 'httpstcocewdgtkywc']",79,429
306,"['think', 'poss', 'tweet', 'charact', 'lik', 'httpstcolunpiwogqg']",132,588
307,"['see', 'dont', 'httpstcocbfctsnlk']",43,336
308,"['grand', 'grab', 'aaronhick', 'wow', 'httpstconpksweu', 'httpstcojamcykb']",58,175
309,"['allr', 'rooky', 'hit', 'hom', 'ev', 'httpstcoiedcci', 'httpstcocwjqemazb']",491,1579
310,"['everybody', 'pool', 'clinch', 'httpstcooelwziwj']",413,1688
311,"['what', 'nic', 'catch', 'throwbacks', 'httpstcoutsdwmvwr']",29,197
312,"['canad', 'joeyb', 'httpstcowcyaayzgy']",277,957
313,"['wait', 'basebal', 'lik', 'httpstcoyohfiuqv']",91,611
314,"['get', 'sliiid', 'httpstcociuttuiqn']",126,514
315,"['clinch', 'postseason', 'ber', 'almost', 'fun', 'play', 'httpstcowmvhqcwnj']",71,262
316,"['ther', 'on', 'thing', 'man', 'hes', 'suff', 'spirit', 'ex', 'funk', 'buy', 'new', 'suit', 'httpstcopcrfyuigi']",7,86
317,"['may', 'walkoff', 'city', 'httpstcodkneprruw']",27,127
318,"['clinch', 'bet', 'fam', 'httpstcotiomfiwyhe']",266,1344
319,"['two', 'tim', 'httpstcocfwmgxwmk']",87,283
320,"['claytonkersh', 'happy', 'head', 'back', 'postseason', 'httpstcojwunpbez']",270,1130
321,"['hug', 'nl', 'west', 'champ', 'httpstcodvhpyarv']",280,911
322,"['puigyourbiggestf', 'httpstcotymwxxmh']",174,802
323,"['busy', 'fac', 'party', 'chin', 'httpstcogipdlbx']",21,116
324,"['man', 'myth', 'legend', 'httpstcoohjpnhn']",176,1078
325,"['got', 'heeem', 'httpstcouzjasmuwa']",1439,3616
326,"['year', 'old', 'on', 'best', 'shortstop', 'gam', 'youd', 'hyp', 'toohappy', 'birthday', 'teamcjcorre', 'httpstcojjzqmpafk']",281,997
327,"['hello', 'substitut', 'teacherm', 'httpstcozirmemj']",161,820
328,['httpstcofepyakqe'],12,148
